Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3B4etxytImrRKQgV3XHjnR,"Harleys In Hawaii","Smile","Katy Perry",2020-08-28,185480,77,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-08T04:01:26Z,"pop","Capitol Records",0.721,0.751,10,-6.203,0,0.125,0.162,0.00000659,0.118,0.738,140.095,4
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,"STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI;Justin Bieber",2021-07-09,141805,80,true,31fk7r2twiddpapb5cqweuygxwky,2025-10-10T03:44:56Z,"","Columbia",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
spotify:track:3BomnHfqKZCdPJC9bkGBjE,"On My Way","World Of Walker","Alan Walker;Sabrina Carpenter;Farruko",2021-11-26,193959,70,true,31fk7r2twiddpapb5cqweuygxwky,2025-10-10T03:47:27Z,"pop,reggaeton,trap latino","Kreatell Music",0.522,0.697,1,-5.288,0,0.103,0.0291,0,0.319,0.235,169.775,4
spotify:track:4hyVrAsoKKjxAvQjPRt0ai,"Love Your Voice","Список твоих мыслей","JONY",2019-06-21,150329,69,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-10T04:05:51Z,"","Atlantic Records Russia (Distribution)",0.608,0.83,9,-5.396,0,0.0956,0.597,0.0000034,0.118,0.211,91.088,4
spotify:track:2ogKhhoMClkFXek7ZgxAhN,"Shameless","Romance","Camila Cabello",2019-12-06,219742,81,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-10T04:08:14Z,"","Syco Music/Epic",0.377,0.651,4,-5.437,0,0.0589,0.0197,0.0000531,0.174,0.0851,129.607,4
spotify:track:4WFfPxJv1KRekG6mxn837K,"EYES CLOSED (with ZAYN)","EYES CLOSED (with ZAYN)","JISOO;ZAYN",2025-10-10,181375,87,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-10T17:30:05Z,"k-pop","Warner Records",0.556,0.737,11,-5.354,1,0.067,0.2,0,0.108,0.376,75.034,4
spotify:track:2nMeu6UenVvwUktBCpLMK9,"Young And Beautiful","Young And Beautiful","Lana Del Rey",2013-01-01,236053,87,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-11T03:38:20Z,"","Polydor Records",0.324,0.416,11,-8.92,0,0.0368,0.262,0.0000369,0.11,0.151,113.986,4
spotify:track:2AnMndnV7XFk3VuuCPy6Zk,"Safari - Gritty Remix","Safari (Gritty Remix)","Serena;Gritty",2017,195515,49,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-11T03:51:07Z,"","Roton Music",0.814,0.578,5,-6.612,0,0.0415,0.635,0.00134,0.123,0.262,102.971,4
spotify:track:1Bhm5HNO1cq8olDbBmokyL,"Copines","NAKAMURA","Aya Nakamura",2018-11-02,171720,74,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-11T04:51:35Z,"french r&b,pop urbaine","Rec. 118",0.701,0.787,8,-3.941,0,0.0855,0.27,0,0.105,0.904,180.027,4
spotify:track:6TPpCbn9z0IY5Te048iy5R,"Your Love","AMORTAGE","JISOO",2025-02-14,173232,72,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-11T14:13:42Z,"k-pop","Warner Records",0.692,0.723,8,-4.186,1,0.0359,0.0896,0.00000188,0.0814,0.43,105.906,4
